objectID,title,artistDisplayName,artistNationality,artistDisplayBio,objectDate,objectBeginDate,objectEndDate,department,classification,medium,culture,country,region,repository,objectURL,period,group,clean_title,title_length,happiness_score
276345,Tchekhov par lui-même,Anton Chekhov,Russian,"Russian, 1860–1904",1955,1955,1955,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276345,1951-2000,European,tchekhov par lui m me,5,5.0
276356,Period Piece: A Cambridge Childhood,Gwen Raverat,British,"British, Cambridge 1885–1957 Cambridge",1954,1954,1954,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276356,1951-2000,European,period piece a cambridge childhood,5,5.612
276358,The Holy Sinner,Thomas Mann,German,"German, Lübeck 1875–1955 Zürich, Switzerland",1951,1951,1951,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276358,1951-2000,European,the holy sinner,3,4.983333333333333
276373,The Evening Colonnade,Cyril Connolly,British,"British, Coventry 1903–1974 Eastbourne",1973,1973,1973,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276373,1951-2000,European,the evening colonnade,3,5.7
276376,The Letters of Oscar Wilde,Oscar Wilde,Irish,"Irish, Dublin 1854–1900 Paris",1963,1963,1963,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276376,1951-2000,European,the letters of oscar wilde,5,5.48
276424,Enemies of Promise and Other Essays : An Autobiography of Ideas,Cyril Connolly,British,"British, Coventry 1903–1974 Eastbourne",1960,1960,1960,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276424,1951-2000,European,enemies of promise and other essays an autobiography of ideas,10,5.137777777777777
276425,Baudelaire on Poe,Charles Baudelaire,French,"French, Paris 1821–1867 Paris",1952,1952,1952,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276425,1951-2000,European,baudelaire on poe,3,5.56
276435,How True: A Skeptic's Guide to Believing the News,"Thomas Griffith, London",British,,1974,1974,1974,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276435,1951-2000,European,how true a skeptic s guide to believing the news,10,5.6000000000000005
276447,The Modern Movement,Cyril Connolly,British,"British, Coventry 1903–1974 Eastbourne",1966,1966,1966,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276447,1951-2000,European,the modern movement,3,5.800000000000001
276452,Collected Letters 1894-1897,George Bernard Shaw,Irish,"Irish, Dublin 1856–1950 Ayot St Lawrence, Hertfordshire (?)",1965,1965,1965,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276452,1951-2000,European,collected letters,2,5.93
